"date","gmv","quantity","total_male","total_female","total_unknown","total_order"
2022-09-15,8080.00,26,1,3,2,6
2022-09-14,11540.00,45,1,7,0,8
2022-09-13,8264.00,37,1,6,1,8
2022-09-12,12682.00,28,1,7,0,8
2022-09-11,20935.00,64,1,14,0,15
2022-09-10,22776.00,83,1,16,0,17
2022-09-09,192344.00,1190,36,191,13,239
2022-09-08,17751.00,81,3,7,1,11
2022-09-07,7346.00,36,0,5,0,5
2022-09-06,9526.00,17,1,6,0,7
2022-09-05,5242.00,24,1,5,0,6
2022-09-04,3180.00,5,4,1,0,5
2022-09-03,8240.00,8,1,3,1,5
2022-09-02,13480.00,61,3,4,0,7
2022-09-01,8251.00,30,1,7,0,8
2022-08-31,27252.00,45,1,12,0,13
2022-08-30,2990.00,5,1,2,0,3
2022-08-29,6674.00,41,1,6,1,8
2022-08-28,3740.00,9,1,4,0,5
2022-08-27,11670.00,47,4,3,0,7
2022-08-26,2698.00,8,0,5,0,5
2022-08-25,4659.00,15,1,4,0,5
2022-08-24,2840.00,9,1,1,1,3
2022-08-23,730.00,1,0,1,0,1
2022-08-22,3012.00,11,1,2,0,3
2022-08-21,4673.00,22,2,1,0,3
2022-08-20,6460.00,10,1,3,0,4
2022-08-19,3199.00,5,3,0,0,3
2022-08-18,6980.00,7,0,2,1,3
2022-08-17,832.00,14,0,2,0,2
2022-08-16,180.00,5,1,0,0,1
2022-08-15,1630.00,2,0,1,1,2
2022-08-14,300.00,1,1,0,0,1
2022-08-13,3230.00,8,1,1,0,2
2022-08-12,3140.00,3,0,2,0,2
2022-08-11,5260.00,11,0,3,0,3
2022-08-10,8850.00,20,3,2,1,6
2022-08-09,28795.00,92,5,12,0,17
